Month,Xposition,YPosition
1,-169,-82 
1,-5,4 
1,45,12 
1,-10,-176 
1,-66,-167 
1,15,-18 
1,-35,31 
1,101,-34 
1,-20,-38 
1,90,10 
1,-22,-26 
1,58,6 
1,26,-74 
1,3,125 
1,-15,9 
1,-6,69 
1,86,-57 
1,-31,-30 
1,-69,-42 
1,58,-1 
1,-72,-32 
1,4,-5 
1,-11,14 
1,-63,-9 
1,-131,-160 
1,2,-2 
1,-81,25 
1,90,-152 
1,-54,-110 
1,-24,79 
1,-46,40 
1,103,-117 
1,53,-34 
1,-29,125 
1,-10,9 
1,-7,129 
1,95,111 
1,87,-105 
1,-2,3 
1,-124,71 
1,89,33 
1,-8,21 
1,-138,-67 
1,-8,10 
1,-21,31 
1,31,-47 
1,36,-63 
1,4,-9 
1,1,96 
1,-5,-9 
1,-19,-16 
1,16,68 
1,100,-33 
1,9,112 
1,-91,-138 
1,-6,-45 
1,-115,64 
1,48,129 
1,214,79 
1,36,26 
1,-44,71 
1,99,-71 
1,20,53 
1,18,-38 
1,39,-59 
1,-23,-21 
1,25,-109 
1,186,-22 
1,-96,-100 
1,38,63 
1,-38,52 
1,-55,16 
1,79,43 
1,-215,48 
1,78,1 
1,-1,3 
1,139,98 
1,173,-36 
1,-36,5 
1,21,35 
1,-44,-77 
1,110,-134 
1,51,78 
1,3,63 
1,-56,52 
1,-2,8 
1,28,-9 
1,-2,-1 
1,199,50 
1,-43,30 
1,222,67 
1,-5,-84 
1,-71,65 
1,0,34 
1,-83,67 
1,-41,6 
1,198,-30 
1,80,-129 
1,-90,57 
1,44,-42 
1,9,146 
1,-2,-1 
1,-12,-27 
1,10,-161 
1,47,-2 
1,2,14 
1,171,-11 
1,-71,-1 
1,-25,-19 
1,17,7 
1,-33,33 
1,-53,20 
1,119,-163 
1,-24,48 
1,-100,39 
1,40,-102 
1,56,-15 
1,-4,12 
1,0,4 
1,-105,-106 
1,15,-2 
1,-189,104 
1,-4,76 
1,-7,-5 
1,-3,7 
1,3,14 
1,12,-10 
1,-92,28 
1,-55,67 
1,91,112 
1,-34,-27 
1,-117,81 
1,65,125 
1,-33,-56 
1,-107,-21 
1,98,-54 
1,22,72 
1,-4,28 
1,-8,38 
1,-4,68 
1,-19,11 
1,30,-28 
1,-127,-71 
1,45,36 
1,-5,-5 
1,40,-46 
1,-83,-126 
1,52,63 
1,-32,-90 
1,-15,0 
1,28,-117 
1,22,-3 
1,15,43 
1,1,-13 
1,-37,-112 
1,26,40 
1,5,5 
1,28,103 
1,-155,10 
1,43,-4 
1,14,64 
1,40,11 
1,-82,-54 
1,-33,14 
1,-76,81 
1,41,-9 
1,-64,-1 
1,-52,-95 
1,65,-32 
1,-99,20 
1,-70,-26 
1,21,151 
1,-26,-94 
1,36,-82 
1,35,0 
1,43,85 
1,-120,44 
1,40,-57 
1,2,-15 
1,-19,-95 
1,27,-10 
1,-13,1 
1,-57,97 
1,14,-25 
1,-80,25 
1,-71,86 
1,-28,-5 
1,-6,-22 
1,-58,-154 
1,-65,-1 
1,11,-49 
1,170,30 
1,73,53 
1,15,29 
1,8,12 
1,-99,83 
1,-13,10 
1,4,0 
1,-54,6 
1,26,59 
1,62,51 
1,-39,-18 
361,90,10 
361,62,-163 
361,-20,3 
361,5,-20 
361,14,-25 
361,2,80 
361,-35,31 
361,11,112 
361,-1,36 
361,17,-79 
361,-27,55 
361,45,36 
361,-24,48 
361,139,98 
361,-215,48 
361,-34,-27 
361,40,-57 
361,24,-47 
361,43,85 
361,-1,3 
361,36,26 
361,91,112 
361,-33,33 
361,3,63 
361,-5,5 
361,36,110 
361,-44,71 
361,-55,67 
361,-2,-1 
361,6,2 
361,0,1 
361,43,-4 
361,-138,-67 
361,44,-42 
361,198,-30 
361,9,146 
361,-76,81 
361,-8,17 
361,-62,16 
361,-105,73 
361,28,-9 
361,118,-80 
361,-14,-30 
361,76,33 
361,-25,-65 
361,186,-22 
361,98,-54 
361,57,-39 
361,-6,19 
361,-81,-217 
361,36,-82 
361,-8,21 
361,-28,-24 
361,100,-33 
361,-32,-90 
361,35,14 
361,28,-117 
361,12,-10 
361,126,3 
361,116,42 
361,-127,-71 
361,1,0 
361,32,22 
361,-107,-21 
361,65,-32 
361,-13,10 
361,5,5 
361,-29,21 
361,-3,7 
361,-20,-38 
361,-12,117 
361,45,12 
361,-118,41 
361,1,55 
361,-227,-69 
361,-11,14 
361,-26,-22 
361,-6,-22 
361,150,-107 
361,-56,52 
361,-25,-23 
361,-72,-32 
361,53,-34 
361,154,-33 
361,23,17 
361,-24,79 
361,0,-9 
361,2,14 
361,-9,6 
361,56,-15 
361,90,-152 
361,173,-36 
361,58,-1 
361,79,115 
361,40,-46 
361,26,59 
361,27,-41 
361,62,51 
361,-15,9 
361,-12,-2 
361,-131,-160 
361,-6,-72 
361,-105,45 
361,-34,-83 
361,-105,-106 
361,-115,64 
361,53,23 
361,-46,-40 
361,-79,-111 
361,-6,-45 
361,16,68 
361,0,0 
361,18,3 
361,22,72 
361,2,-15 
361,-33,14 
361,-8,33 
361,30,-19 
361,-5,6 
361,42,19 
361,-126,27 
361,-44,-74 
361,-21,-88 
361,148,33 
361,5,-19 
361,-57,97 
361,-115,28 
361,-13,1 
361,18,5 
361,-6,71 
361,168,58 
361,18,-9 
361,0,34 
361,-31,-30 
361,-146,-61 
361,1,96 
361,10,-161 
361,0,0 
361,-35,40 
361,-33,-56 
361,22,1 
361,-46,27 
361,-1,0 
361,-10,-41 
361,40,-102 
361,128,147 
361,-222,0 
361,-63,-9 
361,-117,136 
361,8,12 
361,-47,167 
361,45,-14 
361,-9,86 
361,3,0 
361,9,0 
361,48,129 
361,30,-28 
361,25,-127 
361,10,-54 
361,-4,76 
361,-58,-154 
361,2,0 
361,26,40 
361,-4,68 
361,-66,-167 
361,3,14 
361,-29,125 
361,-52,-74 
361,15,-18 
361,-5,-9 
361,-92,15 
361,12,-53 
361,-4,0 
361,83,-70 
361,-22,1 
361,61,-72 
361,80,-105 
361,180,-90 
361,1,0 
361,-19,-95 
361,-60,21 
361,6,-48 
361,145,-24 
361,-46,40 
361,-34,185 
361,65,115 
361,199,50 
361,47,-2 
361,52,63 
361,95,111 
361,-120,44 
361,-96,-100 
361,-54,-8 
361,10,-151 
361,-43,30 
361,-25,136 
361,-223,91 
361,23,-90 
361,0,-9 
361,89,33 
361,-113,-150 
361,20,53 
361,-7,129 
361,4,-5 
361,101,-34 
361,130,64 
361,-25,-19 
361,57,83 
361,-26,-94 
361,65,62 
361,80,-129 
361,-33,105 
361,-169,-82 
361,47,18 
361,-3,1 
361,-3,9 
361,173,168 
361,-10,9 
361,-156,111 
361,-74,98 
361,-20,-16 
361,-22,-26 
361,-92,28 
361,-149,14 
361,-10,21 
361,119,-163 
361,-53,20 
361,30,-5 
361,24,1 
361,-8,-12 
361,-12,-27 
361,1,-13 
361,35,45 
361,102,-97 
361,-36,66 
361,-11,6 
361,-23,-3 
361,27,77 
361,49,-65 
361,56,-8 
361,-4,12 
361,-10,-21 
361,-23,-5 
361,-126,178 
361,41,-9 
361,-9,137 
361,-123,82 
361,102,188 
361,51,78 
361,222,67 
361,-19,85 
361,10,-48 
361,-65,-1 
361,-2,3 
361,-19,11 
361,-12,44 
361,-69,-42 
361,-38,57 
361,-100,39 
361,0,-70 
361,-8,38 
361,26,-74 
361,-7,-5 
361,0,0 
361,-9,39 
361,53,-31 
361,33,-13 
361,36,174 
361,-81,25 
361,-90,57 
361,-44,-77 
361,189,-69 
361,-19,-16 
361,-180,-124 
361,21,151 
361,-68,-42 
361,22,-22 
361,-133,215 
361,3,125 
361,-5,21 
361,-6,69 
361,81,-83 
361,110,-134 
361,40,11 
361,6,-52 
361,-66,-89 
361,22,-3 
361,42,-68 
361,-43,-67 
361,-35,-125 
361,35,0 
361,36,-20 
361,45,21 
361,-38,52 
361,-155,10 
361,9,-36 
361,-5,-84 
361,50,26 
361,49,-28 
361,-65,19 
361,-16,-43 
361,36,38 
361,28,103 
361,-2,-1 
361,-61,-9 
361,-37,-112 
361,-36,5 
361,36,-63 
361,9,112 
361,-71,-100 
361,-52,-95 
361,-59,45 
361,-27,62 
361,112,-44 
361,58,6 
361,-19,79 
361,-91,-138 
361,-19,32 
361,99,-71 
361,171,-11 
361,-14,-237 
361,4,0 
361,100,-65 
361,14,64 
361,214,79 
361,-83,-126 
361,-189,104 
361,-49,-40 
361,15,-2 
361,57,-174 
361,-117,81 
361,-8,10 
361,73,53 
361,35,-28 
361,112,-82 
361,-54,-110 
361,-64,-1 
361,66,-55 
361,-54,20 
361,-77,46 
361,103,-117 
361,-78,-56 
361,2,-2 
361,25,-109 
361,-21,31 
361,-14,65 
361,10,31 
361,23,218 
361,-71,86 
361,-54,6 
361,-151,55 
361,22,68 
361,42,129 
361,-41,6 
361,-23,-21 
361,-49,29 
361,-4,28 
361,-28,-5 
361,48,-53 
361,-153,-91 
361,-40,57 
361,-48,-85 
361,-125,-64 
361,9,6 
361,15,29 
361,-7,-14 
361,-27,7 
361,-39,-18 
361,-5,24 
361,-124,71 
361,35,5 
361,0,4 
361,27,-10 
361,-70,-26 
361,17,-5 
361,-168,-173 
361,11,-49 
361,170,30 
361,-90,-25 
361,-26,214 
361,-5,4 
361,-31,155 
361,38,63 
361,87,-105 
361,-44,-20 
361,21,38 
361,-36,45 
361,-82,-54 
361,-5,-5 
361,-17,33 
361,0,-22 
361,-130,-17 
361,17,7 
361,84,-125 
361,56,152 
361,78,110 
361,-71,65 
361,59,-37 
361,94,64 
361,-77,1 
361,-67,-13 
361,67,68 
361,31,-47 
361,86,-57 
361,108,173 
361,59,55 
361,21,35 
361,-15,0 
361,169,29 
361,-34,-24 
361,-95,-156 
361,9,28 
361,-43,-6 
361,16,9 
361,79,43 
361,-16,195 
361,33,191 
361,-2,8 
361,65,125 
361,-71,101 
361,-80,25 
361,-83,67 
361,-126,-96 
361,-71,-1 
361,-10,-176 
361,-21,-11 
361,-138,-50 
361,-37,8 
361,15,43 
361,53,9 
361,38,-110 
361,18,-38 
361,4,1 
361,-121,-3 
361,-73,-21 
361,-19,182 
361,-98,2 
361,-48,116 
361,-54,-212 
361,4,-9 
361,27,4 
361,24,-163 
361,-55,16 
361,-3,112 
361,60,5 
361,5,73 
361,-99,83 
361,78,1 
361,39,-59 
361,-34,8 
361,-99,20 
1,-14,-30 
1,36,110 
1,112,-44 
1,0,-22 
1,-126,178 
1,35,-28 
1,-180,-124 
1,-25,-23 
1,-61,-9 
1,10,-151 
1,1,55 
1,24,-163 
1,48,-53 
1,-44,-74 
1,81,-83 
1,-33,105 
1,25,-127 
1,30,-19 
1,23,218 
1,-71,101 
1,-29,21 
1,10,-48 
1,-34,-24 
1,-79,-111 
1,-9,39 
1,24,1 
1,18,3 
1,35,14 
1,-54,-212 
1,-73,-21 
1,-9,137 
1,-23,-5 
1,23,-90 
1,36,38 
1,12,-53 
1,17,-79 
1,0,1 
1,-138,-50 
1,-12,44 
1,-1,36 
1,-25,-65 
1,76,33 
1,10,-54 
1,-8,17 
1,0,0 
1,-31,155 
1,-21,-11 
1,-62,16 
1,-5,21 
1,1,0 
1,-95,-156 
1,-43,-6 
1,53,9 
1,-49,29 
1,168,58 
1,-153,-91 
1,-40,57 
1,59,55 
1,80,-105 
1,-14,65 
1,-27,62 
1,60,5 
1,-4,0 
1,11,112 
1,6,-48 
1,-77,1 
1,-8,33 
1,-49,-40 
1,0,0 
1,2,0 
1,-34,-83 
1,102,188 
1,2,80 
1,62,-163 
1,-6,-72 
1,154,-33 
1,9,-36 
1,130,64 
1,102,-97 
1,45,21 
1,5,73 
1,22,68 
1,189,-69 
1,126,3 
1,-133,215 
1,-68,-42 
1,-222,0 
1,33,-13 
1,-66,-89 
1,-168,-173 
1,-5,6 
1,-71,-100 
1,57,83 
1,9,0 
1,-7,-14 
1,-146,-61 
1,-22,1 
1,-19,32 
1,-14,-237 
1,-113,-150 
1,36,174 
1,42,-68 
1,-11,6 
1,-27,7 
1,-3,9 
1,21,38 
1,-35,-125 
1,0,-70 
1,-6,19 
1,-156,111 
1,-36,66 
1,24,-47 
1,35,5 
1,-35,40 
1,9,6 
1,-19,85 
1,53,23 
1,108,173 
1,112,-82 
1,-19,182 
1,173,168 
1,-6,71 
1,-44,-20 
1,-10,21 
1,-48,-85 
1,-149,14 
1,-43,-67 
1,42,19 
1,-23,-3 
1,66,-55 
1,-3,112 
1,79,115 
1,6,2 
1,84,-125 
1,59,-37 
1,-223,91 
1,-65,19 
1,-12,-2 
1,5,-19 
1,-27,55 
1,-121,-3 
1,9,28 
1,-78,-56 
1,-5,5 
1,-26,-22 
1,-74,98 
1,45,-14 
1,116,42 
1,47,18 
1,49,-28 
1,22,-22 
1,-37,8 
1,-25,136 
1,-77,46 
1,1,0 
1,4,1 
1,53,-31 
1,118,-80 
1,-81,-217 
1,-105,73 
1,57,-174 
1,67,68 
1,30,-5 
1,3,0 
1,-10,-41 
1,57,-39 
1,-126,-96 
1,-21,-88 
1,-28,-24 
1,-227,-69 
1,-48,116 
1,32,22 
1,-1,0 
1,35,45 
1,61,-72 
1,27,4 
1,-34,8 
1,-20,3 
1,-3,1 
1,-67,-13 
1,-126,27 
1,49,-65 
1,-12,117 
1,17,-5 
1,-115,28 
1,0,-9 
1,36,-20 
1,5,-20 
1,-34,185 
1,-130,-17 
1,-125,-64 
1,-9,6 
1,27,77 
1,-54,-8 
1,145,-24 
1,78,110 
1,6,-52 
1,-16,195 
1,-169,-82 
1,-5,4 
1,45,12 
1,-10,-176 
1,-66,-167 
1,15,-18 
1,-35,31 
1,101,-34 
1,-20,-38 
1,90,10 
1,-22,-26 
1,58,6 
1,26,-74 
1,3,125 
1,-15,9 
1,-6,69 
1,86,-57 
1,-31,-30 
1,-69,-42 
1,58,-1 
1,-72,-32 
1,4,-5 
1,-11,14 
1,-63,-9 
1,-131,-160 
1,2,-2 
1,-81,25 
1,90,-152 
1,-54,-110 
1,-24,79 
1,-46,40 
1,103,-117 
1,53,-34 
1,-29,125 
1,-10,9 
1,-7,129 
1,95,111 
1,87,-105 
1,-2,3 
1,-124,71 
1,89,33 
1,-8,21 
1,-138,-67 
1,-8,10 
1,-21,31 
1,31,-47 
1,36,-63 
1,4,-9 
1,1,96 
1,-5,-9 
1,-19,-16 
1,16,68 
1,100,-33 
1,9,112 
1,-91,-138 
1,-6,-45 
1,-115,64 
1,48,129 
1,214,79 
1,36,26 
1,-44,71 
1,99,-71 
1,20,53 
1,18,-38 
1,39,-59 
1,-23,-21 
1,25,-109 
1,186,-22 
1,-96,-100 
1,38,63 
1,-38,52 
1,-55,16 
1,79,43 
1,-215,48 
1,78,1 
1,-1,3 
1,139,98 
1,173,-36 
1,-36,5 
1,21,35 
1,-44,-77 
1,110,-134 
1,51,78 
1,3,63 
1,-56,52 
1,-2,8 
1,28,-9 
1,-2,-1 
1,199,50 
1,-43,30 
1,222,67 
1,-5,-84 
1,-71,65 
1,0,34 
1,-83,67 
1,-41,6 
1,198,-30 
1,80,-129 
1,-90,57 
1,44,-42 
1,9,146 
1,-2,-1 
1,-12,-27 
1,10,-161 
1,47,-2 
1,2,14 
1,171,-11 
1,-71,-1 
1,-25,-19 
1,17,7 
1,-33,33 
1,-53,20 
1,119,-163 
1,-24,48 
1,-100,39 
1,40,-102 
1,56,-15 
1,-4,12 
1,0,4 
1,-105,-106 
1,15,-2 
1,-189,104 
1,-4,76 
1,-7,-5 
1,-3,7 
1,3,14 
1,12,-10 
1,-92,28 
1,-55,67 
1,91,112 
1,-34,-27 
1,-117,81 
1,65,125 
1,-33,-56 
1,-107,-21 
1,98,-54 
1,22,72 
1,-4,28 
1,-8,38 
1,-4,68 
1,-19,11 
1,30,-28 
1,-127,-71 
1,45,36 
1,-5,-5 
1,40,-46 
1,-83,-126 
1,52,63 
1,-32,-90 
1,-15,0 
1,28,-117 
1,22,-3 
1,15,43 
1,1,-13 
1,-37,-112 
1,26,40 
1,5,5 
1,28,103 
1,-155,10 
1,43,-4 
1,14,64 
1,40,11 
1,-82,-54 
1,-33,14 
1,-76,81 
1,41,-9 
1,-64,-1 
1,-52,-95 
1,65,-32 
1,-99,20 
1,-70,-26 
1,21,151 
1,-26,-94 
1,36,-82 
1,35,0 
1,43,85 
1,-120,44 
1,40,-57 
1,2,-15 
1,-19,-95 
1,27,-10 
1,-13,1 
1,-57,97 
1,14,-25 
1,-80,25 
1,-71,86 
1,-28,-5 
1,-6,-22 
1,-58,-154 
1,-65,-1 
1,11,-49 
1,170,30 
1,73,53 
1,15,29 
1,8,12 
1,-99,83 
1,-13,10 
1,4,0 
1,-54,6 
1,26,59 
1,62,51 
1,-39,-18 
